"ID","Abteilung","Jahr","Aktenzeichen","Status","Titel"
"11-2014-200","11","2014","PE 6 - 200/14","A","EU-Beihilferechtliche Beurteilung von Ausfallbürgschaften bei Energieinspar-Contracting-Maßnahmen"
"11-2014-197","11","2014","PE 6 - 197/14","A","Voraussetzungen für eine Verwendung von Finanzmitteln des Europäischen Stabilitätsmechanismus für ein europäisches Investitionsprogramm"
"11-2014-196","11","2014","PE 6 - 196/14","A","Rechtsschutz gegen einen Kommissionsbeschluss im EU-Beihilferecht - Zur Klageberechtigung potentieller Kläger im Hinblick auf den Beschluss der Kommission in Sachen AKW Hinkley Point C"
"11-2014-195","11","2014","PE 6 - 195/14","A","Fragen zur direkten Bankenrekapitalisierung durch den Europäischen Stabilitätsmechanismus"
"11-2014-194","11","2014","PE 6 - 194/14","A","Stand der Beratungen über eine Datenschutzgrundverordnung"
"11-2014-190","11","2014","PE 6 - 190/14","A","Auswirkungen des Comprehensive Economic ans Trade Agreements (CETA) auf die Regelungen der EU-Kraftstoffqualitätsrichtlinie 2009/30/EG"
"11-2014-188","11","2014","PE 6 - 188/14","A","Konsequenzen der neuen MiFID-II-Richtinie und der MiFIR-Verordnung für Hochfrequenzhandel und Nahrungsmittelspekulation"
"11-2014-187","11","2014","PE 6 - 187/14","A","Der unionsrechtliche Unternehmensbegriff und seine Konsequenzen für die Ausgabe von Arzneimitteln durch den Staat bzw. öffentliche Einrichtungen"
"11-2014-184","11","2014","PE 6 - 184/14","A","Europarechtliche Spielräume zur Befragung und Auskunftspflicht nach § 22 Abs. la BPolG"
"11-2014-183","11","2014","PE 6 - 183/14","A","Wirkungen von Resolutionen des VN-Sicherheitsrates auf europäisches Sekundärrecht"
"11-2014-182","11","2014","PE 6 - 182/14","A","Fragen zur vorläufgen Anwendung des Comprehensive Economic and Trade Agreements (CETA)"
"11-2014-181","11","2014","PE 6 - 181/14","A","Handlungsgrundlagen der Europäischen Zentralbank für den Ankauf von Asset-Backed-Securities (ABS)"
"11-2014-177","11","2014","PE 6 - 177/14","A","Zur Vereinbarkeit einer steuerlichen Anlaufhemmung für nicht erklärte ausländische Kapitalerträge mit Unionsrecht"
"11-2014-174","11","2014","PE 6 - 174/14","A","Europarechtliche Gestaltungsspielräume für nationale Vorgaben zur Zusammensetzung von Babynahrung"
"11-2014-173","11","2014","PE 6 - 173/14","A","Fragen zur vorläufigen Anwendung des Comprehensive Economic and Trade Agreements (CETA)"
"11-2014-171","11","2014","PE 6 - 171/14","A","Möglichkeiten eines Opt-Outs einzelner EU-Mitgliedstaaten im Hinblick auf die Bestimmungen über ein Investor-Staat-Streitverfahren im Comprehensive Economic and Trade Agreement (CETA) und der Transatlantic Trade and Investment Partnership (TTIP)"
"11-2014-168","11","2014","PE 6 - 168/14","A","Unionsrechtliche Zulässigkeit einer Inländerdiskriminierung durch die sog. PKW-Maut bzw. Infrastrukturabgabe"
"11-2014-165","11","2014","PE 6 - 165/14","A","Staatliche Förderung der Instandhaltung neuer Bremstechniken im Schienengüterverkehr und EU-Beihilfenrecht"
"11-2014-164","11","2014","PE 6 - 164/14","A","EU-Sanktionen gegen Russland - Rechtsgrundlagen und Rechtmäßigkeit restriktiver Maßnahmen der EU gegenüber dem Vorsitzenden der Staatsduma"
"11-2014-157","11","2014","PE 6 - 157/14","A","Fragen zur Reform des Freizügigkeitsgesetzes/EU"
"11-2014-153","11","2014","PE 6 - 153/14","A","Fragen zum Inhalt und den Ratifikationsverfahren des Comprehensive Economic and Trade Agreements (CETA) und des Abkommens über eine Transatlantische Handels- und Investitionspartnerschaft (TTIP)"
"11-2014-152","11","2014","PE 6 - 152/14","A","Abschluss des Comprehensive Econimics and Trade Agreements (CETA) als gemischtes Abkommen oder als EU-Abkommen"
"11-2014-146","11","2014","PE 6 - 146/14","A","Unionsrechtliche Fragen zur Dauer der Facharztausbildung bei Teilzeitausbildung"
"11-2014-144","11","2014","PE 6 - 144/14","A","Fragen zur Vereinbarkeit des Vorschlags für eine PKW-Maut bzw. Infrastrukturabgabe mit dem Unionsrecht"
"11-2014-139","11","2014","PE 6 - 139/14","A","Vereinbarkeit des Vorschlags für eine PKW-Maut bzw. Infrastrukturabgabe mit dem Unionsrecht"
"11-2014-133","11","2014","PE 6 - 133/14","A","Obergrenzen der Gläubigerbeteiligung im Gesetzentwurf der Bundesregierung für das BRRD-Umsetzungsgesetz"
"11-2014-132","11","2014","PE 6 - 132/14","A","Unionsrechtliche Fragen zur Reform des Staatsangehörigkeitsrechts"
"11-2014-131","11","2014","PE 6 - 131/14","A","Vereinbarkeit des Vorschlags für eine PKW-Maut bzw. Infrastrukturabgabe mit dem Unionsrecht"
"11-2014-129","11","2014","PE 6 - 129/14","A","Mitgliedstaatliche Verbote von Weichmachern"
"11-2014-128","11","2014","PE 6 - 128/14","A","Besteuerung von Schulverpflegung"
"11-2014-127","11","2014","PE 6 - 127/14","A","Unionsrechtliche Anforderungen an ein Punktsystem bei der Zuwanderung"
"11-2014-126","11","2014","PE 6 - 126/14","A","Unionsrechtliche Vorgaben für die Inhaberschaft von Arzneimittelzulassungen"
"11-2014-124","11","2014","PE 6 - 124/14","A","Transport und Schlachtung trächtiger Kühe"
"11-2014-119","11","2014","PE 6 - 119/14","A","Fragen zu den Aufgaben der Europäischen Kommission im Rahmen der Verhandlungen für ein Abkommen über eine Transatlantische Handels- und Investitionspartnerschaft (TTIP)"
"11-2014-118","11","2014","PE 6 - 118/14","A","Europarechtliche Fragen zur Einführung einer Opt-out-Möglichkeit der Mitgliedstaaten für den Anbau gentechnisch veränderter Organismen (Opt-out GVO)"
"11-2014-117","11","2014","PE 6 - 117/14","A","Anforderungen der EU an die Beitrittsländer in Bezug auf die Demokratisierung und Projekte zur Demokratieförderung anlässlich des Beitritts Kroatiens zur EU"
"11-2014-116","11","2014","PE 6 - 116/14","A","Fragen zu Aspekten des geplanten Investitionsschutzabkommens zwischen der EU und China"
"11-2014-112","11","2014","PE 6 - 112/14","AG","Lösung von einem Investor-Staat-Streitbeilegungsmechanismus im Rahmen des Abkommens über eine Transatlantische Handels- und Investitionspartnerschaft (Transatlantic Trade and Investment Partnership TTIP) - NfD -"
"11-2014-108","11","2014","PE 6 - 108/14","A","Fragen zur Datenschutzgrundverordnung"
"11-2014-106","11","2014","PE 6 - 106/14","A","Fragen zu den Möglichkeiten der EU-Mitgliedstaaten für ein Anbauverbot von gentechnisch veränderten Organismen"
"11-2014-102","11","2014","PE 6 - 102/14","A","Nationale Geschlechterquote für die Arbeitnehmerseite von Aufsichtsräten in Europäischen (Aktien-)Gesellschaften"
"11-2014-098","11","2014","PE 6 - 098/14","A","Abwrackprämie für Schiffe und ihre Vereinbarkeit mit EU-Beihilferecht"
"11-2014-097","11","2014","PE 6 - 097/14","AI","Das Aufenthaltsrecht von Unionsbürgern aus anderen Mitgliedstaaten der Europäischen Union und ihr Zugang zu Grundsicherungsleistungen im Aufenthalts Staat unter besonderer Berücksichtigung der Rechtslage in Deutschland"
"11-2014-092","11","2014","PE 6 - 092/14","A","Unionsrechtliche Regelungen zu Heimtiertransporten"
"11-2014-090","11","2014","PE 6 - 090/14","A","Erweiterung der Bemessungsgrundlage der geplanten Finanztransaktionssteuer um Devisentransaktionen"
"11-2014-086","11","2014","PE 6 - 086/14","A","Unionsrechtliche Zulässigkeit einer degressiven Abschreibung von Wohnraum in Ballungszentren"
"11-2014-084","11","2014","PE 6 - 084/14","A","Verfahren zur Änderung der EU-Freisetzungsrichtlinie"
"11-2014-078","11","2014","PE 6 - 078/14","A","Zur Diskussion der Ausbringung von Genmais-1507 in den Mitgliedstaaten"
"11-2014-066","11","2014","PE 6 - 066/14","A","Europarechtliche Fragen eines nationalen Opt-Outs des Anbaus von Genmais-1507"
"11-2014-064","11","2014","PE 6 - 064/14","A","Der Ausbau von Genmais-1507 in der Bundesrepublik Deutschland - Europarechtliche Aspekte einer nationalen Opt-Out-Regelung"
"11-2014-063","11","2014","PE 6 - 063/14","A","Der Anbau von Genmais-1507 in der EU"
"11-2014-047","11","2014","PE 6 - 047/14","A","Die Berücksichtigung der Rentenreform im Rahmen der haushalts- und fiskalpolitischen Pflichten der Wirtschafts- und Währungsunion"
"11-2014-041","11","2014","PE 6 - 041/14","A","Fragen zu den Verhandlungen über eine Finanztransaktionssteuer im Wege der Verstärkten Zusammenarbeit"
"11-2014-034","11","2014","PE 6 - 034/14","A","Fragen zum Einheitlichen Abwicklungsmechanismus (SRM) und Einheitlichen Abwicklungsfonds (SRF)"
"11-2014-014","11","2014","PE 6 - 014/14","A","Fragen zu Art. 13 Fiskalvertrag und zu Maßnahmen der Eurorettung"
"11-2014-008","11","2014","PE 6 - 008/14","A","Kürzung des Kindergeldes und EU-Recht"
"11-2014-005","11","2014","PE 6 - 005/14","A","Vergaberecht und die Teilnahme der Sanitätsdienste der Bundeswehr am zivilen Notfall- und Rettungsdienst"
"11-2014-002","11","2014","PE 6 - 002/14","A","Mindestlohnvorschriften mit Ausnahmeregelungen für bestimmte Personengruppen - Vereinbarkeit mit dem Europarecht"
"11-2014-001","11","2014","PE 6 - 001/14","A","EU-rechtliche Spielräume für eine Zugangssteuerung zu Leistungen der Grundsicherung für Arbeitsuchende aus EU-Staaten"
"11-2013-134","11","2013","PE 6 - 134/13","A","Fragen zum Sonderbericht des Europäischen Rechnungshofes „European Union Direct Financial Support to the Palestinian Authority“"
"11-2013-126","11","2013","PE 6 - 126/13","A","Europäische Rahmenbedingungen einer nationalen Zuwanderungsgesetzgebung"
"11-2013-125","11","2013","PE 6 - 125/13","A","Einflüsse der jüngeren Rechtsprechung des EuGH auf Grundsicherungsansprüche von Unionsbürgern"
"11-2013-121","11","2013","PE 6 - 121/13","A","Tierkörperbeseitigung und EU-Beihilfenrecht - Entsorgung gefallener Tiere durch Kommunen nach dem Entwurf der Agrar-Freistellungsverordnung"
"11-2013-120","11","2013","PE 6 - 120/13","A","Kroatisches Gesetz über den Aufenthaltsort - Zur Vereinbarkeit mit dem EU-Recht"
"11-2013-112","11","2013","PE 6 - 112/13","A","Stellvertretung des Hohen Vertreters für die GASP und GSVP"
"11-2013-110","11","2013","PE 6 - 110/13","A","Vereinbarkeit des Vorschlags zur Neufassung der Tabakproduktrichtlinie mit dem Subsidiaritätsgrundsatz"
"11-2013-109","11","2013","PE 6 - 109/13","A","Förderung der Betriebsmehrkosten der Halter von Schienengüterwagen mit nachgerüsteten Verbundstoffbremssohlen"
"11-2013-108","11","2013","PE 6 - 108/13","A","Visumpflicht für türkische Geschäftsleute"
"11-2013-092","11","2013","PE 6 - 092/13","A","Durchsuchungs- und Vernichtungsaktion bei der britischen Tageszeitung „The Guardian“ - Verstoß gegen die Europäische Grundrechte-Charta"
"11-2013-090","11","2013","PE 6 - 090/13","A","Fragen zur Klage des Vereinigten Königreichs gegen den Ratsbeschluss 2013/52/EU über die Ermächtigung zu einer Verstärkten Zusammenarbeit im Bereich der Finanztransaktionssteuer (EuGH, Rs. C-209/13)"
"11-2013-087","11","2013","PE 6 - 087/13","A","Fragen zur EU-Kompetenz für die Ausweisung der Ostsee als Emissionsüberwachungsgebiet für Stickstoffoxid (NECA)"
"11-2013-085","11","2013","PE 6 - 085/13","A","Einzelfragen zur geplanten Verordnung des Europäischen Parlaments und des Rates über klinische Prüfungen mit Humanarzneimitteln"
