Jahr,Zeichen,Kategorie,Titel
"2012","WD11-075/12","A","Vergleich der Regelungen im sog. Fiskalvertrag mit dem geltenden Unionsrecht"
"2011","WD11-076/11","A","Die Mitbestimmungsrechte der Arbeitnehmer im Statut der Europäischen Privatgesellschaft - Verhandlungsstand und Vereinbarkeit mit Art. 352 AEUV"
"2009","WD11-077/09","A","Die Ernennung der Mitglieder der Europäischen Kommission nach dem Vertrag von Nizza und Lissabon"
"2008","WD11-079/08","AI","Vereinbarkeit von Tariftreueklauseln mit Gemeinschaftsrecht ""Rüffert""-Entscheidung des EuGH (Rs. C-346/06)"
"2012","WD11-079/12","A","Diskussion um die Einführung eines Insolvenzverfahrens für Mitgliedstaaten des Euro-Währungsgebiets"
"2007","WD11-080/07","AI","Europäische Agenturen"
"2006","WD11-081/06","A","Formelle und informelle Beteiligungen am Rechtsetzungs- und Umsetzungsprogramm auf EU-Ebene"
"2009","WD11-081/09","A","Die Mitwirkungsrechte der nationalen Parlamente in den Mitgliedstaaten der Europäischen Union - Zusammenstellung der Rechtstexte"
"2011","WD11-081/11","A","Die um die Fünf-Prozent-Sperrklausel im Europawahlgesetz geführte Diskussion"
"2006","WD11-082/06","AI","Europäische Agenturen"
"2007","WD11-082/07","A","Die Europafähigkeit des Bundestages - ausgewählte Fragen"
"2011","WD11-082/11","A","Fragen zu den Methoden zur Vermeidung von Doppelbesteuerung in der Europäischen Union"
"2006","WD11-084/06","A","Geänderte Vorschläge der EU-Kommission im Mitentscheidungsverfahren"
"2011","WD11-084/11","A","Zur Funktionsweise der Europäischen Finanzstabilisierungsfazilität (EFSF) - Beanspruchung von Sicherungsgebern"
"2011","WD11-085/11","A","Zur Funktionsweise der Europäischen Finanzstabilisierungsfazilität (EFSF) nach dem reformierten EFSF-Rahmenvertrag - 165-Prozent-Schwelle, Folgen eines Guarantor-Step-Out, Garantien nach Auslaufen der EFSF"
"2007","WD11-086/07","A","Die euro-mediterrane Partnerschaft (EUROMED)"
"2008","WD11-086/08","A","Bierut-Dekrete und Gemeinschaftsrecht"
"2012","WD11-086/12","A","Im Fiskalvertrag enthaltene Klagemöglichkeit vor dem EuGH und Fehlen eines vertraglichen Kündigungsrechts- Vereinbarkeit mit dem Grundgesetz"
"2007","WD11-087/07","AI","50 Jahre Römische Verträge"
"2009","WD11-087/09","A","Parlamentarische Mitwirkung bei der Gesetzgebung der Europäischen Union"
"2012","WD11-087/12","A","Vereinbarkeit der Gewerbesteuerkürzung bei Grundstücksunternehmen mit dem europäischen Beihilferecht"
"2009","WD11-088/09","A","Parlamentarische Kontrolle der Europäischen Sicherheits- und Verteidigungspolitik"
"2011","WD11-089/11","A","Beanspruchung von Sicherungsgebern und das Verfahren bei Zahlungsausfall nach dem Rahmenvertrag für die Europäische Finanzstabilisierungsfazilität"
"2007","WD11-090/07","AI","Der Grundsatz gegenseitiger Anerkennung im freien Warenverkehr Dassonville, Keck, Cassis de Dijon: haben die Klassiker ausgedient?"
"2011","WD11-090/11","A","Die Änderungen am EFSF-Rahmenvertrag - insbesondere unter Berücksichtigung der Veränderungen bei der Gewährung von Darlehen und der Übernahme von Bürgschaften"
"2012","WD11-090/12","A","Vereinbarkeit staatlicher Fördermaßnahmen zur Umrüstung des Güterwagenbestandes auf lärmarme Bremstechnik mit dem Beihilfenrecht der EU"
"2007","WD11-091/07","AI","Subsidiarität - Testlauf für nationale Parlamente"
"2006","WD11-093/06","A","Regelungsumfang von Art. 7 Abs. 2 der Richtlinie 2003/86/EG"
"2007","WD11-093/07","AI","Von den Verträgen der Sechs zur Union der 27- Die Erweiterung der Europäischen Gemeinschaften"
"2011","WD11-095/11","A","Ratingagenturen im Recht der Europäischen Union - Rechtsrahmen, verbindliche Folgen aus einer schlechten Bewertung eines Staates für Banken, Finanzinstitute, Hedgefonds etc., Haftung von Ratingagenturen, internationale Regeln"
"2009","WD11-096/09","A","Festlegung der Verhandlungspositionen im Europäischen Rat­ Kompetenzen der nationalen Parlamente"
"2010","WD11-096/10","A","Vereinbarkeit bilateraler Finanzhilfen für Griechenland mit Artikel125 des Vertrags über die Arbeitsweise der Europäischen Union"
"2006","WD11-098/06","A","Straßenmaut und EG-Recht"
"2007","WD11-098/07","AI","Die Europäische Atomgemeinschaft (EURATOM)"
"2011","WD11-099/11","A","Aufgaben und Arbeitsweise des Europäischen Auswärtigen Dienstes"
"2012","WD11-099/12","A","Vereinbarkeit der Auflegung von Eurobonds mit der No-bail-out-Klausel des Art. 125 Abs. 1 des Vertrags über die Arbeitsweise der Europäischen Union - Aktualisierung der Ausarbeitung WD11-3000-120/11 vom 15. August 2011"
"2011","WD11-100/11","A","Die Aufnahme einer Öffnungsklausel in das Rennwett- und Lotteriegesetz - Vereinbarkeit mit Unionsrecht"
"2010","WD11-103/10","AI","Bilaterale Finanzhilfen für Griechenland - Vereinbarkeit mit Artikel 125 des Vertrags über die Arbeitsweise der Europäischen Union"
"2011","WD11-104/11","A","Vereinbarkeit der.Begebung von Eurobonds mit dem Recht der Europäischen Union"
"2012","WD11-105/12","A","Erhebung einer einmaligen, europaweiten Vermögensabgabe auf Grundlage europäischen Rechts"
"2009","WD11-107/09","A","Entwurf eines Begleitgesetzes zum Vertrag von Lissabon - 3. Variante"
"2007","WD11-109/07","A","Parlamentarische Begleitung von EU-Regierungskonferenzen"
"2007","WD11-112/07","AI","As you like it: Die Berliner Erklärung"
"2011","WD11-112/11","A","Die Vereinbarkeit der in der Grundverordnung enthaltenen Ermächtigungen der mit Art. 290 AEUV"
"2006","WD11-113/06","A","Die Beziehungen zwischen der EU und Russland"
"2007","WD11-113/07","A","Die bilateralen Beziehungen EU-Ukraine"
"2006","WD11-114/06","AI","Verordnungsentwurf ""Small Claims"""
"2010","WD11-114/10","A","Maßnahmen zur Wahrung der Finanzstabilität in der Europäischen Union"
"2011","WD11-114/11","A","Grenzen der Übertragung von Hoheitsrechten auf die Europäische Union"
"2012","WD11-114/12","A","Zulässigkeit der Refinanzierung des Europäischen Stabilitätsmechanismus bei der Europäischen Zentralbank"
"2009","WD11-115/09","A","Zustimmungserfordernis der nationalen Parlamente zu Vertrags­ und Verfahrensänderungen gemäß dem Vertrag von Lissabon­ Regelungen in Dänemark, Frankreich, Österreich und Tschechien"
"2006","WD11-116/06","AI","Grünbuch zur Energieeffizienz"
"2011","WD11-116/11","A","Gebührenerhöhungen infolge der Einführung des Elektronischen Aufenthaltstitels - Vereinbarkeit mit den Stillhalteklauseln und dem Diskriminierungsverbot im Assoziationsrecht EWG/Türkei"
"2010","WD11-117/10","A","Maßnahmen zur Wahrung der Finanzstabilität im Euro-Währungsgebiet"
"2010","WD11-119/10","A","Zur Vereinbarkeit des Entwurfs eines Gesetzes zur Übernahme von Gewährleistungen im Rahmen eines europäischen Stabilisierungsmechanismus mit Artikel125 des Vertrags über die Arbeitsweise der Europäischen Union"
"2011","WD11-120/11","A","Vereinbarkeit der Auflegung von Eurobonds mit der No-bail-out Klausel des Art. 125 Abs. 1 des Vertrags über die Arbeitsweise der Europäischen Union"
"2008","WD11-121/08","AI","Europäisches Strafrecht"
"2010","WD11-121/10","AI","Der Europäische Auswärtige Dienst (EAD)"
"2011","WD11-121/11","A","Der Ankauf von Staatsanleihen durch die Europäische Zentralbank"
"2011","WD11-123/11","A","Vereinbarkeit der Einführung von Eurobonds mit dem Vertrag über die Arbeitsweise der Europäischen Union - Notwendigkeit einer Änderung der grundlegenden Verträge"
"2009","WD11-124/09","A","Fragen zum Spannungsverhältnis des Primärrechts der Europäischen Union zu der Forderung nach einer Re-Regulierung der Finanzmärkte"
"2010","WD11-124/10","A","Vereinbarkeit der Beschlüsse des Rates ECOFIN vom 9. Mai 2010 zum europäischen Finanzstabilisierungsmechanismus"
"2010","WD11-125/10","A","Wahrung der Finanzstabilität in der Europäischen Union"
"2011","WD11-125/11","A","Gemeinsame europäische Staatsanleihen - Eurobonds - Vereinbarkeit mit dem Vertrag über die Arbeitsweise der Europäischen Union"
"2012","WD11-125/12","A","Fragen zum Vertrag zur Einrichtung des Europäischen Stabilitätsmechanismus (ESM) - Haftung der Mitglieder des Gouverneursrats, des Direktoriums und der Mitarbeiter des ESM"
"2012","WD11-126/12","A","Assoziierungsabkommen zwischen der Europäischen Union und den Staaten Zentralamerikas-Auswirkungen einer möglichen Ablehnung durch das Europäische Parlament oder ein nationales Parlament auf die vorläufige Anwendung des Handelsteils des Abkommens"
"2007","WD11-127/07","A","Zur Umsetzung der EU_Dienstleistungsrichtlinie in deutsches Recht unter besonderer Berücksichtigung der Schaffung ""Einheitlicher Ansprechpartner"""
"2012","WD11-127/12","A","Einzelfragen zur Spanienhilfe"
"2011","WD11-128/11","A","Zulässigkeit von bilateralen Vereinbarungen über Absicherung von Bürgschaften im Rahmen der Europäischen Finanzstabilisierungsfazilität"
"2006","WD11-129/06","A","Stand der Verhandlungen über den Abschluss eines Assoziationsabkommen zwischen der EU und dem Mercosur"
"2009","WD11-129/09","AI","Parlamentarische Mitwirkung in Angelegenheiten der Europäischen Union in Dänemark, Frankreich, Österreich, Polen, Tschechien und im Vereinigten Königreich"
"2011","WD11-130/11","A","Fragen zur Euro-Krise und zu den Euro-Rettungsschirmen"
"2012","WD11-130/12","A","Einzelfragen zum ESM"
"2006","WD11-131/06","A","Zur Wahlfreiheit zwischen Richtlinie und Verordnung bei der Rechtsetzung auf EU-Ebene"
"2007","WD11-131/07","AI","Die bilateralen Beziehungen EU-Ukraine"
"2009","WD11-131/09","A","Maßnahmen zur Steigerung der Energieeffizienz von Gebäuden auf der Ebene der Europäischen Union"
"2010","WD11-133/10","A","Bewertung des Vorschlags der spanischen Regierung zu Übergangsmaßnahmen betreffend die Zusammensetzung des Europäischen Parlaments in den Parlamenten der Mitgliedstaaten"
"2011","WD11-133/11","A","Grenzen der Einführung von Eurobonds im Recht der Europäischen Union"
"2011","WD11-134/11","A","Absicherung von Bürgschaften im Rahmen der Europäischen Finanzstabilisierungsfazilität durch Pfandverschreibungen - Zulässigkeit nach EFSF-Rahmenvertrag"
"2011","WD11-136/11","A","Der Europarechtliche Rahmen für gemeinsame Polizeioperationen mit Mitgliedstaaten der Europäischen Union"
"2012","WD11-136/12","A","Rechtliche Möglichkeiten der Beendigung des Vertrages zur Einrichtung des Europäischen Stabilitätsmechanismus (ESM)"
"2011","WD11-138/11","A","Gebühren für den elektronischen Aufenthaltstitel - Vereinbarkeit mit dem Recht der Europäischen Union"
"2008","WD11-139/08","A","Überführung der Bestimmung des Vertrages von Prüm in den Rechtsrahmen der EU"
"2006","WD11-140/06","A","Formen der abgestuften Zusammenarbeit zwischen der EU und (Noch)-Drittstaaten, Vom Handelsabkommen zum EWR-Plus"
"2010","WD11-140/10","A","Überwachungs- und Sanktionsmechanismen der Wirtschafts- und Währungsunion - Status Quo und Vorschläge zur Reform"
"2011","WD11-140/11","A","Der Ankauf von Anleihen einzelner Mitgliedstaaten durch die Europäische Zentralbank - Vereinbarkeit mit dem Vertrag über die Arbeitsweise der Europäischen Union sowie der Satzung des Europäischen Systems der Zentralbanken und der EZB"
"2008","WD11-141/08","A","Die Tranzparenzinitiative der Kommission unter datenschutzrechtlichen Gesichtspunkten"
"2012","WD11-142/12","A","Zu den europarechtlichen Vorgaben für eine Präklusion von Einwänden von Umweltschutzverbänden zu Belangen des Umwelt- und Naturschutzes in gerichtlichen Verfahren"
"2012","WD11-143/12","A","Klagemöglichkeiten gegen Maßnahmen der Europäischen Zentralbank (EZB)"
"2011","WD11-144/11","A","Schaffung eines Rahmens für die Erhebung einer Bankenabgabe auf Ebene der Europäischen Union - Mögliche Rechtsgrundlagen"
"2012","WD11-144/12","A","Fragen zu einem etwaigen Ausscheiden Griechenlands aus der Euro-Zone - Rechtliche Rahmenbedingungen für ein Ausscheiden aus der Eurozone und/oder aus der EU"
"2006","WD11-145/06","A","Zur Umsetzung von EG-Richtlinien und EU-Rahmenbeschlüssen"
"2006","WD11-146/06","A","Bildung in der Dienstleistungsrichtlinie"
"2006","WD11-147/06","AI","Die EU und Georgien"
"2012","WD11-147/12","A","Beihilfenrelevanz einer Öffnungsklausel in dem Gesetz über die Bundesanstalt für Immobilienaufgaben"
"2006","WD11-149/06","A","Das Vertragsverletzungsverfahren gemäß Art. 226 EGV und die Sanktionsmöglichkeiten des Art. 228 EGV"
"2012","WD11-149/12","A","Europarechtliche Bedenken gegen eine Bankenaufsicht durch die Europäische Zentralbank (EZB)? Zum Vorschlag der Kommission für eine Verordnung des Rates zur Übertragung besonderer Aufgaben im Zusammenhang mit der Aufsicht über Kreditinstitute auf die EZB vom 12. September 2012"
"2011","WD11-152/11","A","Abgabe von Hoheitsrechten an die Europäische Union vor dem Hintergrund der Erklärung der Staats- und Regierungschefs des Euro-Währungsgebiets und der Organe der Europäischen Union vom 21. Juli 2011 - Verfassungsrechtliche Grenzen, Erforderlichkeit von Volksabstimmung"
"2012","WD11-153/12","A","Die unionsrechtliche Zulässigkeit des unbegrenzten Ankaufs von Staatsanleihen durch die Europäische Zentralbank"
"2011","WD11-154/11","A","Das Legislativpaket zur Verstärkung der wirtschaftspolitischen Steuerung in der Europäischen Union - Vereinbarkeit mit dem Grundgesetz"
"2012","WD11-154/12","A","Auswirkungen der 8. GWB-Novelle auf die Einordnung gesetzlicher Krankenkassen als Unternehmen im Sinne der Art. 101 ff. AEUV"
"2011","WD11-155/11","A","Fragenkatalog zum deutschen und europäischen Abfallrechts"
"2006","WD11-156/06","AI","Wirtschaftsmigration"
"2010","WD11-156/10","A","Europarechtliche Zulässigkeit einer Luftverkehrsabgabe - Zum Vorhaben der Bundesregierung"
"2012","WD11-156/12","A","Klagemöglichkeiten der deutschen Bundesbank gegen die EZB vor dem Europäischen Gerichtshof"
"2006","WD11-157/06","AI","Formen der abgestuften Zusammenarbeit zwischen der EU und (Noch)-Drittstaaten. Vom Handelsabkommen zum EWR- Plus"
"2011","WD11-157/11","A","Sammlung und Beseitigung von Haushaltsabfällen unter Ausschluss von gewerblichen Sammlungen - Unionsrechtliche Zulässigkeit"
"2012","WD11-158/12","A","Fragen zur Anwendung der Grundfre}heiten und EU-Regelungen zur Unternehmensbesteuerung und der Besteuerung von Zinserträgen im EWR und der Schweiz"
"2012","WD11-159/12","A","Vorsorgekonto als Basisprodukt der staatlich geförderten privaten Altersvorsorge Gesetzgebungskompetenz des Bundes und Vereinbarkeit mit dem europäischen Wettbewerbsrecht"
"2006","WD11-160/06","AI","Bessere Rechtsetzung oder ist nur weniger schon mehr?"
"2008","WD11-161/08","A","Moderner Konservatismus und die Vision Europas"
"2006","WD11-162/06","AI","Europäisches Technologieinstitut"
"2011","WD11-163/11","A","Zuständigkeiten der Europäischen Union zur Koordinierung der Wirtschafts- und Sozialpolitik"
"2012","WD11-163/12","A","Austritt aus der Europäischen Atomgemeinschaft und rechtliche Konsequenzen für das Rahmenprogramm Forschung und Innovation ""Horizon 2020"""
"2012","WD11-165/12","A","Zur Bankenunion einschließlich einer europäischen Bankenaufsicht durch die Europäische Zentralbank (EZB)"
"2010","WD11-166/10","A","Suspendierung der Stimmrechte eines Mitgliedstales im Rat der Europäischen Union wegen Verstoßes gegen die Haushaltsdisziplin"
"2011","WD11-166/11","A","Umsetzungsstand der Anpassungsprogramme für Portugal und Irland im Rahmen der Finanzhilfen aus der Europäischen Finanzstabilisierungsfazilität, und Umsetzungsstand der Anpassungsprogramme für Rumänien, Lettland und Ungarn im Rahmen des gegenseitigen Beistands nach Artikel 143 des Vertrags über die Arbeitsweise der Europäischen Union"
"2012","WD11-166/12","A","Vereinbarkeit der Einführung eines fahrscheinlosen ÖPNV mit dem Europarecht"
"2012","WD11-167/12","A","Wirkungen des Assoziierungsabkommens zwischen der Europäischen Union und Staaten Zentralamerikas sowie des Handelsübereinkommens zwischen der Europäischen Union einerseits und Kolumbien und Peru andererseits auf die Regulierungsvorhaben der EU im Finanzmarktsektor"
"2006","WD11-168/06","A","CALRE"
"2007","WD11-168/07","AI","Vom Verfassungsvertrag zum ""Vertrag von Lissabon""?"
"2007","WD11-169/07","AI","Zum Status des Kosovo"
"2011","WD11-169/11","A","Finanzierung einer dauerhaften Beschäftigung aus passiven Leistungen im Europäischen Beihilferecht"
"2006","WD11-170/06","AI","Aktuelle Rahmenbeschlussentwürfe im Bereich der PJZS"
"2008","WD11-170/08","A","Deutsch-Französische Kooperation im Bereich der europäischen Industriepolitik am Beispiel EADS"
"2012","WD11-170/12","A","Zur Richtlinie 2006/40/EG über Emissionen aus Klimaanlagen in Kraftfahrzeugen - Rechtsfragen im Zusammenhang mit der Ankündigung der Kommission, keine Vertragsverletzungsverfahren wegen der Nichteinhaltung der Anforderungen der Richtlinie einzuleiten"
"2008","WD11-171/08","AI","Die EU unter französischem Vorsitz"
"2010","WD11-171/10","A","Europäische Benchmarks für die allgemeine und berufliche Bildung - Abstimmung zwischen den Ländern und der Bundesregierung im Bereich der Bildungspolitik der Europäischen Union"
"2011","WD11-171/11","A","Die Verordnungen zur Bekämpfung makroökonomischer Ungleichgewichte - Vereinbarkeit mit dem Recht der Europäischen Union und deutschem Verfassungsrecht"
"2012","WD11-171/12","A","EU-rechtliche Zulässigkeit der Pflichtmitgliedschaften in Handwerks- sowie Industrie- und Handelskammern für EU- ausländische Dienstleister"
"2010","WD11-173/10","A","Einführung eines geordneten Insolvenzverfahrens für Mitgliedstaaten des Euro-Währungsgebiets- Rechtliche Verankerung eines Insolvenzrechts für Staaten"
"2011","WD11-173/11","A","Gewährung von Krediten der Europäischen Zentralbank an Marktteilnehmer ohne Banklizenz"
"2010","WD11-174/10","A","Einfluss der nationalen Parlamente auf die Entscheidungsprozesse der Europäischen Union nach dem Vertrag von Lissabon"
"2011","WD11-174/11","A","Überblick über die temporäre Europäische Finanzstabilisierungsfazilität (EFSF) und den permanenten Europäischen Stabilitätsmechanismus (ESM)"
"2012","WD11-174/12","A","Das Urteil des EuGH vom 27. November 2012, RS. C-370/12 (Pringle/Irland u.a.)"
"2010","WD11-176/10","A","Die neue EU-Tierversuchsrichtlinie - Subsidiarität, Verhältnismäßigkeit und der Erlass strengerer Maßnahmen"
"2011","WD11-176/11","A","Die Strategie Europa 2020 - Umsetzung der Kernziele durch Sekundärrecht, Einsatz der Flexibiltitätsklausel des Art. 352 AEUV"
"2012","WD11-176/12","A","Einsatz von Werkvertragsarbeitnehmern in der Lebensmittelbranche - Vereinbarkeit mit dem europäischen Lebensmittel- und Hygienerecht"
"2010","WD11-177/10","A","Unionsrechtliche Regelungen für Nanotechnologien - Eine Bestandsaufnahme"
"2012","WD11-177/12","A","Europäische Bankenaufsicht - Rechtsgrundlage und Trennung von Geldpolitik und Aufsicht"
"2010","WD11-178/10","A","Zum Bestehen einer Kompetenz-Kompetenz auf Ebene der Europäischen Union und zur Frage der Einschränkung der Souveränität der Mitgliedstaaten"
"2011","WD11-178/11","A","Möglichkeiten des freiwilligen Ausscheidens bzw. des Ausschlusses eines Mitgliedstaats aus der dritten Stufe der Wirtschafts- und Währungsunion"
"2012","WD11-178/12","A","Zur Vereinbarkeit des Vorschlags der Kommission zur Neufassung der Tabakproduktrichtlinie mit dem Subsidiaritätsprinzip"
"2008","WD11-179/08","A","Europäische Vorgaben und ihre mögliche Wirkung auf die Kinder- und Jugendhilfe"
"2010","WD11-182/10","A","Schadensersatzansprüche deutscher Fischer gegen die Niederlande- Urteil des Europäischen Gerichtshofs vom 15. Oktober 2009, C-232/08"
"2011","WD11-182/11","A","Zur Vereinbarkeit der Einrichtung einer Visa-Warndatei mit Europäischem Recht"
"2006","WD11-183/06","A","Erschließungskosten für Industrieansiedlung und das EG-Beihilfenrecht"
"2008","WD11-183/08","AI","Der Europäische Rechnungshof- Das finanzielle Gewissen der Union"
"2010","WD11-183/10","A","Beihilfen für den Steinkohlebergbau im Recht der Europäischen Union - Vorschlag der Europäischen Kommission für eine Ratsverordnung über Stilllegungsbeihilfen für nicht wettbewerbsfähige Kohlebergwerke"
"2011","WD11-183/11","A","Zur Vereinbarkeit der Einrichtung einer Visa-Warndatei mit Europäischem Recht"
"2010","WD11-184/10","A","Einführung einer Verpflichtung zum Einbau von Geschwindigkeitsbegrenzern in KFZ und allgemeinen Geschwindigkeitsbegrenzungen auf Ebene der Europäischen Union - Rechtssetzungskompetenzen der Europäischen Union im Bereich Straßenverkehr"
"2007","WD11-185/07","A","Parlamentarische Begleitung von EU-Regierungskonferenzen (Überarbeitung der 109/07 für das Dossier EU-Verfassung)"
"2011","WD11-185/11","A","Der Europäische Stabilitätsmechanismus-Entstehungsprozess"
"2008","WD11-186/08","AI","Fortschrittsbericht 2008 Bulgarien Rumänien"
"2009","WD11-186/09","A","Verträge von Maastricht und Lissabon: Auswirkungen auf die nationale Souveränität der Mitgliedstaaten der Europäischen Union - ausgewählte Beispiele"
"2010","WD11-186/10","A","Die Entstehung des (obligatorischen) EU-Bio-Siegels"
"2008","WD11-187/08","A","Zur Verwaltung von Gemeinschaftsmitteln in Bulgarien"
"2011","WD11-188/11","A","Zur rechtlichen Zulässigkeit des Austritts von Mitgliedstaaten aus der dritten Stufe Wirtschafts- und Währungsunion"
"2011","WD11-190/11","A","Vorgaben und Umsetzungsstand der Anpassungsprogramme für Rumänien, Lettland und Ungarn im Rahmen des gegenseitigen Beistands nach Artikel143 des Vertrags über die Arbeitsweise der Europäischen Union unter besonderer Berücksichtigung von Strukturreformen"
"2011","WD11-191/11","A","Änderung des Vertrags von Lissabon im Zuge der Euro- Schuldenkrise - Vertragsänderungsverfahren, Konvent, Änderungen durch völkerrechtlichen Vertrag, verfassungsrechtliche Grenzen"
"2011","WD11-192/11","A","Auswirkungen der Einführung des Euro in Montenegro auf die Beitrittsverhandlungen mit der Europäischen Union und die Erfüllung der Konvergenzkriterien"
"2006","WD11-194/06","A","Umsetzung von EG-Antidiskriminierungsrichtlinien und Art. 228 EG-Vertrag"
"2010","WD11-194/10","A","Vereinbarkeit der Atomgesetznovellen mit Europarecht - Bestehen einer Meldepflicht gegenüber der EU-Kommission"
"2008","WD11-195/08","A","Rechtsfragen zum Kommissionsvorschlag einer neuen Antidiskriminierungsrichtlinie"
"2007","WD11-196/07","A","Äußerungen des Rates der Europäischen Union und die Einflussmöglichkeiten des Deutschen Bundestages"
"2006","WD11-197/06","AI","Das sog. zweite Vertragsverletzungsverfahren gemäß Art. 228 EGV und die Maßstäbe der Kommission zur Ermittlung von Zwangsgeld und Pauschalbetrag"
"2008","WD11-197/08","A","Zur Richtlinie 2001/20/EG und § 40 AMG"
"2011","WD11-197/11","A","Empfehlungen des Rates an die Mitgliedstaaten der Europäischen Union zum Abbau bestehender Defizite und Voraussetzungen für den Zugang zu Finanzhilfen"
"2010","WD11-198/10","A","Vorschläge zur Weiterentwicklung der Wirtschafts- und Währungsunion und zur Schaffung einer europäischen Wirtschaftsregierung"
"2011","WD11-200/11","A","Tariftreue im europäischen Vergaberecht im Lichte der sozialen Grundrechte der Charta der Grundrechte der Europäischen Union"
"2011","WD11-201/11","A","Investitionsabkommen und Europarecht"
"2011","WD11-202/11","A","Der Ankauf von Staatsanleihen durch die EZB"
"2006","WD11-203/06","AI","Geänderter Richtlinienvorschlag: Strafrechtliche Maßnahmen zur Durchsetzung der Rechte des geistigen Eigentums"
"2011","WD11-203/11","A","Stimmabgabe des deutschen Vertreters im Direktorium der EFSF entgegen einem Beschluss des Deutschen Bundestages"
"2006","WD11-205/06","A","Die Lissabon-Strategie"
"2008","WD11-205/08","A","Umsetzung der Reformen des Vertrags von Lissabon.m Rahmen des Vertrags von Nizza"
"2011","WD11-205/11","A","Zur Vereinbarkeit des Vorschlags der Verordnung über die Sicherheit von Offshore-Aktivitäten zur Prospektion, Exploration und Förderung von Erdöl und Erdgas mit dem Subsidiaritätsprinzip"
"2010","WD11-206/10","A","Inhaltliche Vertragsänderungen durch die Beitrittsverträge"
"2006","WD11-207/06","AI","Schlussanträge des Generalanwalts Leger zur Klage Deutschlands gegen die Richtlinie 2003/33/EG - Tabakwerberichtlinie"
"2011","WD11-207/11","A","Voraussetzungen für die Einbeziehung von Organen/Einrichtungen der Europäischen Union in die Arbeit einer auf Grundlage eines völkerrechtlichen Vertrages zu gründenden Fiskalunion"
"2010","WD11-208/10","A","Die Reform des Stabilitäts- und Wachstumspaktes im Jahr 2005 und ihre Folgen"
"2011","WD11-208/11","A","Zur Vereinbarkeit eines Exportverbotes von Rüstungsgütern und Atomtechnologie mit dem Recht der Europäischen Union"
"2006","WD11-209/06","AI","Europäische Agentur für Grundrechte"
"2008","WD11-209/08","A","Zur Durchsetzung des Kartellverbots nach Artikel 81 EG-Vertrag"
"2011","WD11-209/11","A","Umstände der Aufnahme Griechenlands in die dritte Stufe der Wirtschafts- und Währungsunion"
"2008","WD11-210/08","A","Die Rechtsprechung des EuGH zur Kompetenzverteilung zwischen EG und Mitgliedstaaten"
"2011","WD11-210/11","A","Europarechtliche Bewertung eines Umschlagsverbots von Kernbrennstoffen und von Atommüll in deutschen Häfen"
"2008","WD11-211/08","A","Das Weimarer Dreieck- Kann es zukunftsorientiert weiter kooperieren?"
"2011","WD11-211/11","A","Erhebung von Gewerbesteuern und Trassenentgelte"
"2011","WD11-212/11","A","Mechanismen in der Europäischen Union zur wirtschaftspolitischen Steuerung und multilateralen Haushaltsüberwachung"
"2010","WD11-215/10","A","Berücksichtigung von makroökonomischen Ungleichgewichten in der Wirtschafts- und Währungspolitik der Europäischen Union - Erforderlichkeit einer Änderung der vertraglichen Grundlagen"
"2011","WD11-215/11","A","Der Entwurf für eine Verordnung über Leitlinien der Union für den Aufbau des transeuropäischen Verkehrsnetzes - Subsidiarität und Verhältnismäßigkeit"
"2010","WD11-216/10","A","Vorschlag für eine Verordnung zur Änderung der Richtlinie 2011/18/EG betreffend die den Mitgliedstaaten eingeräumte Möglichkeit, den Anbau von GVO auf ihrem Hoheitsgebiet beschränken oder zu untersagen - Vereinbarkeit mit den Binnenmarktvorschriften der Europäischen  Union und den WTO-Vorschriften"
"2011","WD11-217/11","A","Entwurf eines Vertrags über Stabilität, Koordinierung und Steuerung in der Wirtschafts- und Währungsunion - Rechtsnatur, Konfliktstellen mit dem Verfassungsrecht Unionsrecht und deutschem"
"2006","WD11-219/06","A","New-Governance-Instrumente in der Europäischen Energiepolitik"
"2010","WD11-219/10","A","Finanzdienstleistungen im europäischen Bereich"
"2008","WD11-220/08","AI","Verfassungsreform in Frankreich: Eine Rolle für das Parlament?"
"2010","WD11-220/10","A","Reformansätze für das Eigenmittelsystem der Europäischen Union"
"2010","WD11-222/10","A","Der Richtlinienentwurf KOM(2010) 368 endg. und das Subsidiaritätsprinzip"
"2010","WD11-223/10","A","Vereinbarkeit der Einlagensicherungsrichtlinie mit dem Subsidiaritätsprinzip"
"2010","WD11-224/10","A","Der Begriff der Integrations- oder Aufnahmefähigkeit in der Erweiterungsstrategie der EU"
"2010","WD11-226/10","A","Pauschalbesteuerung von Bahnunternehmen in Frankreich - Vereinbarkeit mit dem Recht der Europäischen Union"
"2008","WD11-227/08","AI","Polen vier Jahre nach dem EU-Beitritt (2) - Wirtschaftliche Auswirkungen der Mitgliedschaft"
"2010","WD11-227/10","A","Die Umsetzung der Richtlinie 2006/32/EG über Endenergieeffizienz und Energiedienstleistungen und zur Aufhebung der Richtlinie 93/76/EWG durch den Entwurf eines Gesetzes zur Umsetzung der Richtlinie des Europäischen Parlaments und des Rates über Endenergieeffizienz und Endenergiedienstleistungen"
"2006","WD11-229/06","A","Motive für die Verankerung der Grundfreiheiten im Vertrag über die Gründung der Europäischen Gemeinschaft und die Entwicklung der Grundfreiheiten"
"2008","WD11-229/08","A","Entwurf des polnischen Gesetzes über die Wiedergutmachung für die Verstaatlichung von Immobilien und das Gemeinschaftsrecht"
