Jahr,Zeichen,Kategorie,Titel
"2011","WD1-005/11","A","Rat für Nachhaltige Entwicklung in Deutschland, Ombudsmann für Zukünftige Generationen in Ungarn, Kommission für Zukünftige Generationen in Israel - Organisation und Aufgaben"
"2009","WD1-006/09","A","Das Ende der DDR-Wirtschaft"
"2013","WD1-006/13","A","Elysée-Vertrag. Debatten und Abstimmungen in der Assemblée nationale und im Deutschen Bundestag"
"2009","WD1-008/09","A","Biographische Angaben zu den Mitgliedern des Parlamentarischen Rates während der Zeit des Nationalsozialismus"
"2013","WD1-008/13","AI","Alljährlich wiederkehrende Aktions- und Thementage"
"2012","WD1-009/12","A","Joseph von Eichendorff, Heinrich Beine und ihr Verhältnis zu Deutschland"
"2013","WD1-009/13","A","Antisemitismus-Definitionen und ihre Bedeutung für die Bekämpfung von antisemitischem Denken und die Verfolgung antisemitischer Straftaten"
"2009","WD1-010/09","AI","Innen- und wirtschaftspolitische Herausforderungen an US- Präsident Barack H. Obama"
"2011","WD1-011/11","A","Deutsche Kriegsgefangene in sowjetischem Gewahrsam"
"2013","WD1-011/13","A","Beutekunst"
"2006","WD1-012/06","A","Überblick zur Euthanasie im Nationalsozialismus"
"2010","WD1-012/10","A","Zur deutschen Besetzung Dänemarks im Zweiten Weltkrieg (1940-1945)"
"2009","WD1-013/09","A","Faktorenanalyse für den Niedergang einer Regierungspartei am Beispiel Rheinland-Pfalz und Nordrhein-Westfalen"
"2013","WD1-013/13","A","Salafismus in Deutschland"
"2012","WD1-014/12","A","Parlamentarische Höhepunkte seit 1989/90"
"2013","WD1-014/13","A","Das sogenannte Berlin/Bonn-Gesetz. Entstehung, Umsetzung und Perspektiven"
"2007","WD1-016/07","A","Entwicklung von Staat und Verfassung in Israel"
"2009","WD1-016/09","A","Zur Bedeutung der Christen in Israel"
"2008","WD1-017/08","A","Geschichte der Sinologie in Deutschland"
"2011","WD1-017/11","A","Mögliche Pläne für eine Annektierung Siziliens als 49. Bundestag der USA 1944/45"
"2012","WD1-019/12","A","Zum Verhalten deutscher und italienischer Wehrmachtsverbände und sonstiger militärischer Einheiten in Italien"
"2008","WD1-020/08","A","Zur Problematik der Asylgewährung für politische Straftäter"
"2009","WD1-020/09","A","Verfolgung der Sinti und Roma im ""Dritten Reich"""
"2010","WD1-020/10","A","Hintergründe zur aktuellen Homosexuellengesetzgebung in Uganda"
"2012","WD1-020/12","A","Umgang mit Veteranen des Afghanistankrieges in Großbritannien, Frankreich, den Niederlanden, Polen und Österreich"
"2011","WD1-021/11","A","Initiativen zur Förderung bürgerschaftliehen Engagements"
"2012","WD1-021/12","A","Terror gegen die Wallstreet? Die Attentate auf J.P. Morgan und J.D. Rockefeller in der Entstehungszeit des ""Federal Reserve System"" 1914-20"
"2007","WD1-022/07","A","Christian Science"
"2009","WD1-022/09","A","Rechtsextremistische Jugendorganisationen in der Bundesrepublik Deutschland"
"2012","WD1-022/12","A","Sozialpolitik aus christlicher Überzeugung? Eine Untersuchung des mutmaßlichen Einflusses von Zentrums-Partei und anderen christlich-sozialen Gruppierungen auf die ""Kaiserliche Botschaft"" von 1881 und die aus ihr resultierende Errichtung und Organisation der Sozialversicherung"
"2013","WD1-022/13","A","Sinti und Roma in Österreich"
"2011","WD1-023/11","A","Entschädigungsleistungen für während des Nationalsozialismus verfolgte Sinti und Roma"
"2009","WD1-024/09","A","Geschwister Scholl"
"2013","WD1-024/13","AI","Beutekunst"
"2010","WD1-025/10","A","SPD: Entschädigung und Restitution nach 1945 und 1990"
"2011","WD1-025/11","A","Einstellung von Ernst Thälmann zur parlamentarischen Demokratie im Allgemeinen und insbesondere zur Weimarer Republik"
"2013","WD1-025/13","A","Die Auswirkung von Flucht und Vertreibung auf die Vermögensverteilung in Deutschland"
"2008","WD1-026/08","A","Evangelikale Bewegungen in Deutschland"
"2009","WD1-026/09","A","Zur politischen Laufbahn von Rudolph Virchow im Preußischen Abgeordnetenhaus sowie im Deutschen Reichstag"
"2006","WD1-027/06","A","Wahlen, Regierungen und Mitgliederentwicklungen der Parteien in Deutschland im Zeitraum 1990 bis 2005 unter besonderer Berücksichtigung der CSU"
"2011","WD1-028/11","A","Befunde der politikwissenschaftlichen Forschung zur Transparenz der Parteienfinanzierung"
"2011","WD1-030/11","A","Regulierung von Meinungsumfragen"
"2011","WD1-031/11","A","Der Beginn des Menschseins nach Auffassung der katholischen Kirche"
"2009","WD1-032/09","A","Die Würdigung des Widerstandskämpfers Johann Georg Elser im Rahmen der Erinnerungs- und Gedenkstättenkultur der Bundesrepublik Deutschland"
"2007","WD1-033/07","A","Die Benennung von Straßen in den neuen Ländern nach 1989/90 nach Vertretern und Vordenkern des Regimes beziehungsweise nach Bürgerrechtlern und Opfern des Regimes"
"2012","WD1-033/12","A","Bezeichnet die Bundesregierung den Holocaust als Völkermord?"
"2012","WD1-034/12","A","Stärken und Schwächen der Weimarer Reichsverfassung. Eine Gegenüberstellung"
"2013","WD1-034/13","A","Nachfolgeorganisationen von SRP und KPD nach den Verbotsurteilen des Bundesverfassungsgerichts"
"2010","WD1-035/10","A","Die ""Eindeutschung"" von Kindern während des Nationalsozialismus"
"2008","WD1-036/08","A","Zur Diskussion um das aktive und passive Kommunalwahlrecht für Drittstaatsangehörige und zu den Auswirkungen der Umsetzung des Art. 6 Abs. 1 der Europaratskonvention "" Council of Europe, Convention on the Participation of Foreigners in Public Life at Local Level"","
"2010","WD1-036/10","A","Sowjetische Kriegsgefangene in Deutschland 1941-1945."
"2008","WD1-037/08","A","Die Turkmenistan-Afghanistan-Pakistan-Pipeline (TAP-Pipeline)"
"2010","WD1-037/10","A","Störungen in der parlamentarischen Praxis der Weimarer Republik"
"2007","WD1-038/07","A","Der Gesellschaftsvertrag bei Thomas Hobbes und Jean-Jacques Rousseau"
"2008","WD1-038/08","A","Gesamtstaatliche Aspekte der Rittersturzkonferenz 1948"
