"PE6-001/14";"A";"EU rechtliche Spielräume für eine Zugangssteuerung zu Leistungen der Grundsicherung für Arbeitsuchende aus EU- Staaten"
"PE6-002/14";"A";"Mindestlohnvorschriften mit Ausnahmeregelungen für bestimmte Personengruppen - Vereinbarkeit mit dem Europarecht"
"PE6-002/15";"A";"Unionsrechtliche Zulässigkeit einer nach Straßenart differenzierenden Infrastruktur"
"PE6-005/14";"A";"Vergaberecht und die Teilnahme der Sanitätsdienste der Bundeswehr am zivilen Notfall- und Rettungsdienst"
"PE6-008/14";"A";"Kürzung des Kindergeldes und EU-Recht"
"PE6-008/15";"A";"Die Vereinbarkeit von Positivlisten für legal zu haltende Heimtiere mit Unionsrecht"
"PE6-009/15";"A";"Unionsrechtliche Relevanz einer Unterscheidung bei der Erwerbsmöglichkeit von Kurzzeitvignetten"
"PE6-012/15";"A";"Potenzielle Auswirkungen des Comprehensive Economic and Trade Agreements (CETA) auf das Nachtflugverbot am Flughafen Frankfurt am Main"
"PE6-014/14";"A";"Fragen zu Art. 13 Fiskalvertrag und zu Maßnahmen der Eurorettung"
"PE6-014/15";"A";"Hafenkooperation in Norddeutschland im Lichte des EU- Kartellrechts"
"PE6-016/15";"A";"Unionsrechtliche Anforderungen an eine Kennzeichnung von Getränkeverpackungen mit „Einweg"" oder „Mehrweg"""
"PE6-019/15";"A";"Fragen zur Beteiligung der Europäischen Zentralbank im Rahmen des Europäischen Stabilitätsmechanismus"
"PE6-020/15";"A";"Subventionierung neuer Gaskraftwerke im Lichte des EU- Beihilferechts"
"PE6-021/15";"A";"Der Grundsatz der gegenseitigen Anerkennung in Freihandelsabkommen"
"PE6-025/15";"A";"Unionsrechtliche Zulässigkeit von Invenstor-Staat-Schiedsverfahren in Freihandelsabkommen der Europäischen Union (EU)"
"PE6-026/15";"A";"Eintragung von Unionsbürgern in das Wählerverzeichnis bei Europawahlen"
"PE6-027/15";"A";"Fragen zur Liquiditätsversorgung von Kreditinstituten durch die EZB"
"PE6-032/15";"A";"Unionsrechtliche Anforderungen an eine europäische Vorabprüfung von Finanzmarktprodukten"
"PE6-034/14";"A";"Fragen zum Einheitlichen Abwicklungsmechanismus (SRM) und Einheitlichen Abwicklungsfonds (SRF)"
"PE6-034/15";"A";"Beteiligung der Mitgliedstaaten am europäischen Emissionszertifikatehandel"
"PE6-036/15";"A";"Zur Anwendung der AIFM-RL auf Genossenschaften"
"PE6-037/15";"A";"Einseitige mitgliedstaatliche Kündigung von EU- Freihandelsabkommen"
"PE6-040/15";"A";"Unionsrechtliche Regelungen zur Strafbarkeit von Hassreden"
"PE6-041/14";"A";"Fragen zu den Verhandlungen über eine Finanztransaktionssteuer im Wege der Verstärkten Zusammenarbeit"
"PE6-042/15";"A";"Regulierung von Kosmetika im Rahmen der Verhandlungen für ein transatlantisches Handels- und Investitionsabkommen (Transatlantic Trade and Investment Partnership (TTIP))"
"PE6-043/15";"A";"Fragen zu einem unionsrechtlichen Import- und Handelsverbot von mit Frackingsmethoden geförderten fossilen Energieträgern"
"PE6-044/15";"A";"Unionsrechtliche Regelungen zur strafrechtlichen Verfolgung von Hassreden"
"PE6-045/15";"A";"Verfahrensrechtliche Anforderungen des Unionsrechts bei der Einführung eines Leistungsschutzrechts für Presseverleger"
"PE6-046/15";"A";"Unionsrechtliche Anforderungen an einen Beitritt der EU zum Europarat"
"PE6-047/14";"A";"Die Berücksichtigung der Rentenreform im Rahmen der haushalts- und fiskalpolitischen Pflichten der Wirtschafts- und Währungsunion"
"PE6-048/15";"A";"Allgemeine Steuergutschrift für Forschungs- und Entwicklungsaufwendungen für KMU und EU-Beihilferecht"
"PE6-049/15";"A";"Vorläufiger Rechtsschutz vor Unionsgerichten gegenüber Maßnahmen der EZB im Zusammenhang mit der Liquidiatätsversorgung von mitgliedstaatlichen Gechäftsbanken"
"PE6-051/15";"A";"Die Mitgliedschaft im „Netzwerk gentechnikfreier Regionen in Europa"" als Begründung für ein Verbot des Anbaus von gentechnisch veränderten Organismen"
"PE6-053/15";"A";"Europarechtliche Spielräume zur Einführung einer Speicherpflicht und Höchstspeicherfrist für Verkehrsdaten in den Mitgliedstaaten der Europäischen Union"
"PE6-057/15";"A";"Die rechtliche Einbindung einer Verkehrsinfrastrukturgesellschaft und ÖPP in die europäische Schuldenregel"
"PE6-060/15";"A";"Auswirkungen der sog. „Enforcement Workshops"" der Europäischen Kommission auf die Handlungsbefugnisse des Deutschen Bundestages bei der Umsetzung von Richtlinien"
"PE6-063/14";"A";"Der Anbau von Genmais-1507 in der EU"
"PE6-063/15";"A";"Die Vereinbarkeit einer nationalen Holzkennzeichnungspflicht mit EU-Recht"
"PE6-064/14";"A";"Der Ausbau von Genmais-1507 in der Bundesrepublik Deutschland - Europarechtliche Aspekte einer nationalen Opt- Out-Regelung"
"PE6-065/15";"A";"Kommunale Kultur-Eigenbetriebe und EU-Beihilfenrecht"
"PE6-066/14";"A";"Europarechtliche Fragen eines nationalen Opt-Outs des Anbaus von Genmais-1507"
"PE6-070/15";"A";"Vereinbarkeit des „Entwurfs eines Gesetzes zur Einführung einer Speicherpflicht und einer Höchstspeicherfrist für Verkehrsdaten"" mit dem EuGH-Urteil vom 8, April 2014"
"PE6-078/14";"A";"Zur Diskussion der Ausbringung von Genmais-1507 in den Mitgliedstaaten"
"PE6-084/14";"A";"Verfahren zur Änderung der EU-Freisetzungsrichtlinie"
"PE6-086/14";"A";"Unionsrechtliche Zulässigkeit einer degressiven Abschreibung von Wohnraum in Ballungszentren"
"PE6-090/14";"A";"Erweiterung der Bemessungsgrundlage der geplanten Finanztransaktionssteuer um Devisentransaktionen"
"PE6-092/14";"A";"Unionsrechtliche Regelungen zu Heimtiertransporten"
"PE6-097/14";"AI";"Das Aufenthaltsrecht von Unionsbürgern aus anderen Mitgliedstaaten der Europäischen Union und ihr Zugang zu Grundsicherungsleistungen im Aufenthalts Staat unter besonderer Berücksichtigung der Rechtslage in Deutschland"
"PE6-098/14";"A";"Abwrackprämie für Schiffe und ihre Vereinbarkeit mit EU- Beihilferecht"
"PE6-102/14";"A";"Nationale Geschlechterquote für die Arbeitnehmerseite von Aufsichtsräten in Europäischen (Aktien-)Gesellschaften"
"PE6-106/14";"A";"Fragen zu den Möglichkeiten der EU-Mitgliedstaaten für ein Anbauverbot von gentechnisch veränderten Organismen"
"PE6-108/13";"A";"Visumpflicht für türkische Geschäftsleute"
"PE6-108/14";"A";"Fragen zur Datenschutzgrundverordnung"
"PE6-109/13";"A";"Förderung der Betriebsmehrkosten der Halter von Schienengüterwagen mit nachgerüsteten Verbundstoffbremssohlen"
"PE6-110/13";"A";"Vereinbarkeit des Vorschlags zur Neufassung der Tabakproduktrichtlinie mit dem Subsidiaritätsgrundsatz"
"PE6-112/13";"A";"Stellvertretung des Hohen Vertreters für die GASP und GSVP"
"PE6-112/14";"A";"Lösung von einem Investor-Staat-Streitbeilegungsmechanismus im Rahmen des Abkommens über eine Transatlantische Handels- und Investitionspartnerschaft (Transatlantic Trade and Investment Partnership TTIP) - NfD -"
"PE6-116/14";"A";"Fragen zu Aspekten des geplanten Investitionsschutzabkommens zwischen der EU und China"
"PE6-117/14";"A";"Anforderungen der EU an die Beitrittsländer in Bezug auf die Demokratisierung und Projekte zur Demokratieförderung anlässlich des Beitritts Kroatiens zur EU"
"PE6-118/14";"A";"Europarechtliche Fragen zur Einführung einer Opt-out- Möglichkeit der Mitgliedstaaten für den Anbau gentechnisch veränderter Organismen (Opt-out GVO)"
"PE6-119/14";"A";"Fragen zu den Aufgaben der Europäischen Kommission im Rahmen der Verhandlungen für ein Abkommen über eine Transatlantische Handels- und Investitionspartnerschaft (TTIP)"
"PE6-120/13";"A";"Kroatisches Gesetz über den Aufenthaltsort - Zur Vereinbarkeit mit dem EU-Recht"
"PE6-121/13";"A";"Tierkörperbeseitigung und EU-Beihilfenrecht - Entsorgung gefallener Tiere durch Kommunen nach dem Entwurf der Agrar- Freistellungsverordnung"
"PE6-124/14";"A";"Transport und Schlachtung trächtiger Kühe"
"PE6-125/13";"A";"Einflüsse der jüngeren Rechtsprechung des EuGH auf Grundsicherungsansprüche von Unionsbürgern"
"PE6-126/13";"A";"Europäische Rahmenbedingungen einer nationalen Zuwanderungsgesetzgebung"
"PE6-126/14";"A";"Unionsrechtliche Vorgaben für die Inhaberschaft von Arzneimittelzulassungen"
"PE6-127/14";"A";"Unionsrechtliche Anforderungen an ein Punktsystem bei der Zuwanderung"
"PE6-128/14";"A";"Besteuerung von Schulverpflegung"
"PE6-129/14";"A";"Mitgliedstaatliche Verbote von Weichmachern"
"PE6-131/14";"A";"Vereinbarkeit des Vorschlags für eine PKW-Maut bzw. Infrastrukturabgabe mit dem Unionsrecht"
"PE6-132/14";"A";"Unionsrechtliche Fragen zur Reform des Staatsangehörigkeitsrechts"
"PE6-133/14";"A";"Obergrenzen der Gläubigerbeteiligung im Gesetzentwurf der Bundesregierung für das BRRD-Umsetzungsgesetz"
"PE6-134/13";"A";"Fragen zum Sonderbericht des Europäischen Rechnungshofes „European Union Direct Financial Support to the Palestinian Authority"""
"PE6-139/14";"A";"Vereinbarkeit des Vorschlags für eine PKW-Maut bzw. Infrastrukturabgabe mit dem Unionsrecht"
"PE6-144/14";"A";"Fragen zur Vereinbarkeit des Vorschlags für eine PKW-Maut bzw. Infrastrukturabgabe mit dem Unionsrecht"
"PE6-146/14";"A";"Unionsrechtliche Fragen zur Dauer der Facharztausbildung bei Teilzeitausbildung"
"PE6-152/14";"A";"Abschluss des Comprehensive Econimics and Trade Agreements (CETA) als gemischtes Abkommen oder als EU-Abkommen"
"PE6-153/14";"A";"Fragen zum Inhalt und den Ratifikationsverfahren des Comprehensive Economic and Trade Agreements (CETA) und des Abkommens über eine Transatlantische Handels- und Investitionspartnerschaft (TTIP)"
"PE6-157/14";"A";"Fragen zur Reform des Freizügigkeitsgesetzes/EU"
"PE6-164/14";"A";"EU-Sanktionen gegen Russland - Rechtsgrundlagen und Rechtmäßigkeit restriktiver Maßnahmen der EU gegenüber dem Vorsitzenden der Staatsduma"
"PE6-165/14";"A";"Staatliche Förderung der Instandhaltung neuer Bremstechniken im Schienengüterverkehr und EU-Beihilfenrecht"
"PE6-168/14";"A";"Unionsrechtliche Zulässigkeit einer Inländerdiskriminierung durch die sog. PKW-Maut bzw. Infrastrukturabgabe"
"PE6-171/14";"A";"Möglichkeiten eines Opt-Outs einzelner EU-Mitgliedstaaten im Hinblick auf die Bestimmungen über ein Investor-Staat-Streitverfahren im Comprehensive Economic and Trade Agreement (CETA) und der Transatlantic Trade and Investment Partnership (TTIP)"
"PE6-173/14";"A";"Fragen zur vorläufigen Anwendung des Comprehensive Economic and Trade Agreements (CETA)"
"PE6-174/14";"A";"Europarechtliche Gestaltungsspielräume für nationale Vorgaben zur Zusammensetzung von Babynahrung"
"PE6-177/14";"A";"Zur Vereinbarkeit einer steuerlichen Anlaufhemmung für nicht erklärte ausländische Kapitalerträge mit Unionsrecht"
"PE6-181/14";"A";"Handlungsgrundlagen der Europäischen Zentralbank für den Ankauf von Asset-Backed-Securities (ABS)"
"PE6-182/14";"A";"Fragen zur vorläufgen Anwendung des Comprehensive Economic and Trade Agreements (CETA)"
"PE6-183/14";"A";"Wirkungen von Resolutionen des UN-Sicherheitsrates auf europäisches Sekundärrecht"
"PE6-184/14";"A";"Europarechtliche Spielräume zur Befragung und Auskunftspflicht nach § 22 Abs. la BPolG"
"PE6-187/14";"A";"Der unionsrechtliche Unternehmensbegriff und seine Konsequenzen für die Ausgabe von Arzneimitteln durch den Staat bzw. öffentliche Einrichtungen"
"PE6-188/14";"A";"Konsequenzen der neuen MiFID-II-Richtinie und der MiFIR-Verordnung für Hochfrequenzhandel und Nahrungsmittelspekulation"
"PE6-190/14";"A";"Auswirkungen des Comprehensive Economic ans Trade Agreements (CETA) auf die Regelungen der EU- Kraftstoffqualitätsrichtlinie 2009/30/EG"
"PE6-194/14";"A";"Stand der Beratungen über eine Datenschutzgrundverordnung"
"PE6-195/14";"A";"Fragen zur direkten Bankenrekapitalisierung durch den Europäischen Stabilitätsmechanismus"
"PE6-196/14";"A";"Rechtsschutz gegen einen Kommissionsbeschluss im EU- Beihilferecht - Zur Klageberechtigung potentieller Kläger im Hinblick auf den Beschluss der Kommission in Sachen AKW Hinkley Point C"
"PE6-197/14";"A";"Voraussetzungen für eine Verwendung von Finanzmitteln des Europäischen Stabilitätsmechanismus für ein europäisches Investitionsprogramm"
"PE6-200/14";"A";"EU-Beihilferechtliche Beurteilung von Ausfallbürgschaften bei Energieinspar-Contracting-Maßnahmen"
